,time,latitude,longitude,2m_temperature,diff
8278,1990-12-11 22:00:00,40.25,271.75,283.55246,-2.4968872
8302,1990-12-12 22:00:00,40.25,271.75,283.93823,-3.0473022
8303,1990-12-12 23:00:00,40.25,271.75,283.6412,-2.8424988
8307,1990-12-13 03:00:00,40.25,271.75,282.60794,-2.85083
8308,1990-12-13 04:00:00,40.25,271.75,279.50635,-5.1190186
8309,1990-12-13 05:00:00,40.25,271.75,275.59915,-5.558563
8310,1990-12-13 06:00:00,40.25,271.75,274.76178,-3.1716614
8374,1990-12-15 22:00:00,40.25,271.75,276.4015,-2.5698547
8494,1990-12-20 22:00:00,40.25,271.75,280.19858,-2.8087463
8512,1990-12-21 16:00:00,40.25,271.75,279.83923,-2.5880432
8513,1990-12-21 17:00:00,40.25,271.75,281.1569,-2.8164673
8514,1990-12-21 18:00:00,40.25,271.75,280.89734,-3.3671265
8518,1990-12-21 22:00:00,40.25,271.75,278.75668,-3.4493103
8519,1990-12-21 23:00:00,40.25,271.75,279.33994,-3.07547
8520,1990-12-22 00:00:00,40.25,271.75,278.80463,-3.482544
8521,1990-12-22 01:00:00,40.25,271.75,277.0877,-3.8621216
8522,1990-12-22 02:00:00,40.25,271.75,274.82605,-3.7429504
8523,1990-12-22 03:00:00,40.25,271.75,273.30112,-3.846405
